id,title,source,rank,has changed?,for1,for2,for3,ISSN1,ISSN2,ISSN3,ISSN4
555,Academy of Information and Management Sciences Journal,CORE2020,C,No,0806,,,1524-7252,1532-5806,,
789,ACM Computers in Entertainment,CORE2020,B,No,0899,0801,,1544-3574,1544-3981,,
356,ACM Computing Surveys,CORE2020,A*,No,0803,,,0360-0300,1557-7341,,
281,ACM Transactions on Algorithms,CORE2020,A,No,0802,,,1549-6325,1549-6333,,
171,ACM Transactions on Applied Perception,CORE2020,B,No,0801,1702,,1544-3558,1544-3965,,
340,ACM Transactions on Architecture and Code Optimization,CORE2020,B,Yes,0803,,,1544-3566,1544-3973,,
419,ACM Transactions on Asian Language Information Processing,CORE2020,B,No,0804,0806,,1530-0226,1558-3430,,
172,ACM Transactions on Autonomous and Adaptive Systems,CORE2020,B,No,0801,1702,,1556-4665,1556-4703,,
282,ACM Transactions on Computational Logic,CORE2020,A,No,0802,,,1529-3785,1557-945X,,
518,ACM Transactions on Computer - Human Interaction,CORE2020,A*,No,0806,,,1073-0516,1557-7325,,
357,ACM Transactions on Computer Systems,CORE2020,A*,No,0803,0806,,0734-2071,1557-7333,,
416,ACM Transactions on Database Systems,CORE2020,A*,No,0804,0806,,0362-5915,1557-4644,,
341,ACM Transactions on Design Automation of Electronic Systems,CORE2020,not primarily CS,Yes,0803,,,1084-4309,1557-7309,,
342,ACM Transactions on Embedded Computing Systems,CORE2020,B,Yes,0803,,,1539-9087,1558-3465,,
155,ACM Transactions on Graphics,CORE2020,A*,No,0801,0806,,0730-0301,1557-7368,,
504,ACM Transactions on Information Systems,CORE2020,A,No,0806,,,1046-8188,1558-2868,,
445,ACM Transactions on Internet Technology,CORE2020,B,Yes,0805,0806,,1533-5399,1557-6051,,
173,ACM Transactions on Knowledge Discovery from Data,CORE2020,B,No,0801,,,1556-4681,1556-472X,,
293,ACM Transactions on Mathematical Software,CORE2020,A*,No,0802,0806,,0098-3500,1557-7295,,
298,ACM Transactions on Modeling and Computer Simulation,CORE2020,B,No,0802,0806,,1049-3301,1558-1195,,
362,ACM Transactions on Multimedia Computing Communications and Applications,CORE2020,B,No,0803,0806,,1551-6857,1551-6865,,
343,"ACM Transactions on Privacy and Security (was ACM Transactions on Information and System Security, TISSEC pre 2018)",CORE2020,A,No,0803,0806,,2471-2566,2471-2574,,
358,ACM Transactions on Programming Languages and Systems,CORE2020,A*,No,0803,0806,,0164-0925,1558-4593,1057-4514,
474,ACM Transactions on Sensor Networks,CORE2020,C,No,0805,,,1550-4859,1550-4867,,
359,ACM Transactions on Software Engineering and Methodology,CORE2020,A*,No,0803,0806,,1049-331X,1557-7392,,
174,ACM Transactions on Speech and Language Processing,CORE2020,B,No,0801,1702,,1550-4875,1550-4883,,
420,ACM Transactions on Storage,CORE2020,B,No,0804,,,1553-3077,1553-3093,,
461,ACM Transactions on the Web,CORE2020,B,No,0805,,,1559-1131,1559-114X,,
216,Acta Automatica Sinica,CORE2020,C,No,0801,,,1874-1029,0254-4156,,
217,Acta Cybernetica,CORE2020,C,No,0801,0802,,0324-721X,,,
344,Acta Informatica,CORE2020,B,Yes,0803,0804,,0001-5903,1432-0525,,
127,"Adaptive Behavior: animals, animats, software agents, robots, adaptive systems",CORE2020,B,Yes,0801,1701,1702,1059-7123,1741-2633,,
175,Advanced Robotics,CORE2020,B,No,0801,1702,,0169-1864,1568-5535,,
277,Advances in Artificial Neural Systems,CORE2020,Not ranked,No,0801,0102,,1687-7594,1687-7608,,
69,Advances in Computational Sciences and Technology,CORE2020,C,No,08,10,,0973-6107,,,
299,Advances in Mathematics of Commmunications,CORE2020,B,No,0802,0102,0103,1930-5346,,,
308,"Advances in Modelling and Analysis B: Signals, Information, Data, Patterns",CORE2020,C,No,0802,,,1240-4543,,,
218,AI and Society: the journal of human-centered systems and machine intelligence,CORE2020,C,No,0801,2203,1702,0951-5666,1435-5655,,
176,AI Communications: the European journal on artificial intelligence,CORE2020,B,No,0801,1702,,0921-7126,1875-8452,,
219,AI Magazine,CORE2020,C,No,0801,1702,,0738-4602,,,
294,Algorithmica: an international journal in computer science,CORE2020,A*,No,0802,,,0178-4617,1432-0541,,
220,Annals of Mathematics and Artificial Intelligence,CORE2020,C,No,0801,0802,1702,1012-2443,1573-7470,,
94,Annals of Operations Research,CORE2020,B,No,0802,0103,0102,0254-5330,1572-9338,,
659,Annual Review of Information Science and Technology,CORE2020,A*,No,0807,,,0066-4200,1550-8382,,
177,Applied Artificial Intelligence: an international journal,CORE2020,B,No,0801,1702,,0883-9514,1087-6545,,
178,Applied Intelligence,CORE2020,B,No,0801,,,0924-669X,1573-7497,,
100,Applied Mathematics and Information Sciences,CORE2020,C,No,0801,0102,,1935-0090,,,
309,Applied Numerical Analysis and Computational Mathematics,CORE2020,C,No,0802,1702,,1611-8170,,,
556,Applied Ontology,CORE2020,C,No,0806,,,1570-5838,1875-8533,,
221,Applied Soft Computing,CORE2020,C,No,0801,0102,0806,1568-4946,1872-9681,,
222,Archives of Control Sciences,CORE2020,C,No,0801,0102,0103,1230-2384,,,
85,Ars Combinatoria,CORE2020,C,No,0802,0101,,0381-7032,,,
156,Artificial Intelligence,CORE2020,A*,No,0801,1702,,0004-3702,1872-7921,,
223,Artificial Intelligence and Law,CORE2020,C,No,0801,1801,1702,0924-8463,1572-8382,,
128,Artificial Intelligence in Medicine,CORE2020,A,No,0801,0903,,0933-3657,1873-2860,,
224,Artificial Intelligence Review: an international survey and tutorial journal,CORE2020,Survey/review journal,Yes,0801,1702,,0269-2821,1573-7462,,
860,Artificial Life,CORE2020,B,Yes,0801,1702,,1064-5462,1530-9185,,
225,Artificial Life and Robotics,CORE2020,C,No,0801,0906,,1433-5298,,,
101,Asia-Pacific Journal of Operational Research,CORE2020,C,No,0802,0102,1503,0217-5959,1793-7019,,
557,Asian Journal of Information Technology,CORE2020,C,No,0806,1702,,1682-3915,1993-5994,,
857,ASOR Bulletin,CORE2020,C,No,0806,1503,,0812-860X,1446-6678,,
81,Australasian Journal of Combinatorics,CORE2020,B,No,0802,0101,,1034-4942,,,
527,Australasian Journal of Information Systems,CORE2020,B,No,0806,1702,,1449-8618,1326-2238,1039-7841,
179,Australian Journal of Intelligent Information Processing Systems,CORE2020,B,No,0801,1702,,1321-2133,,,
129,Automated Software Engineering,CORE2020,B,Yes,0801,0803,1702,0928-8910,1573-7535,,
226,Automatic Control and Computer Sciences,CORE2020,C,No,0801,,,0146-4116,0005-1047,,
130,Autonomous Agents and Multi-Agent Systems,CORE2020,A,No,0801,1702,,1387-2532,1573-7454,,
180,Autonomous Robots,CORE2020,B,No,0801,1702,,0929-5593,1573-7527,,
131,Behaviour and Information Technology,CORE2020,B,Yes,0801,1702,,0144-929X,1362-3001,,
132,BMC Bioinformatics,CORE2020,A,No,0801,0601,0802,1471-2105,,,
528,BMC Medical Informatics and Decision Making,CORE2020,B,No,0806,1103,,1472-6947,,,
558,Bulletin of Informatics and Cybernetics,CORE2020,C,No,0806,1702,,0286-522X,,,
310,Bulletin of the European Association for Theoretical Computer Science,CORE2020,C,No,0802,,,0252-9742,,,
430,Business Intelligence Journal,CORE2020,C,No,0804,,,1547-2825,1092-6208,,
529,Business Process Management Journal,CORE2020,B,No,0806,1503,,1463-7154,1758-4116,,
311,Chicago Journal of Theoretical Computer Science,CORE2020,C,No,0802,1702,,1073-0486,,,
160,Cognitive Science,CORE2020,A*,No,0801,1701,1702,0364-0213,1551-6709,,
228,Cognitive Science Quarterly,CORE2020,C,No,0801,1702,,1466-6553,,,
1,Combinatorica: an international journal on combinatorics and the theory of computing,CORE2020,A,No,08,01,,0209-9683,1439-6912,,
2,"Combinatorics, Probability and Computing",CORE2020,A,No,08,01,,0963-5483,1469-2163,,
102,Communications in Information and Systems,CORE2020,C,No,0802,0102,1702,1526-7555,,,
14,Communications in Statistics: Simulation and Computation,CORE2020,C,No,08,01,,0361-0918,1532-4141,,
505,Communications of the Association for Information Systems,CORE2020,Not primarily CS,Yes,0806,,,1529-3181,,,
443,Communications of the IBIMA,CORE2020,Not ranked,No,0804,0806,,1943-7765,,,
559,Communications of the ICISA,CORE2020,C,No,0806,,,1533-2454,,,
530,Communications of the IIMA,CORE2020,B,No,0806,,,1543-5970,1941-6687,,
229,Complex Systems,CORE2020,C,No,0801,0802,1702,0891-2513,,,
95,Complexity,CORE2020,B,No,0802,0102,0103,1076-2787,1099-0526,,
230,Complexity International,CORE2020,C,No,0801,0802,0103,1320-0682,,,
133,Computational Complexity,CORE2020,A,No,0801,0802,1702,1016-3328,1420-8954,,
134,Computational Intelligence,CORE2020,B,Yes,0801,1702,,0824-7935,1467-8640,,
161,Computational Linguistics,CORE2020,A*,No,0801,2004,1702,0891-2017,1530-9312,,
9,Computational Statistics,CORE2020,B,No,08,01,,0943-4062,,,
113,Computational Statistics and Data Analysis,CORE2020,B,Yes,0802,0104,,0167-9473,1872-7352,,
184,Computer Animation and Virtual Worlds,CORE2020,B,No,0801,0802,1702,1546-4261,1546-427X,1049-8907,
475,Computer Communications,CORE2020,C,No,0805,1005,,0140-3664,1873-703X,,
476,Computer Communications Review,CORE2020,survey/review,Yes,0805,,,0146-4833,1943-5819,,
